"Rank","Name","Team","Pos","Pos","Avg","Sleeper","ESPN","Yahoo","Underdog"
"[object Object]","Dontayvion Wicks","PHI","WR","WR","14.03","-","-","-","14.03"
"[object Object]","Kenyon Sadiq","NYJ","TE","TE","14.03","16.09","14.03","11.10","15.12"
"[object Object]","Tyler Shough","NO","QB","QB","14.03","16.09","13.09","11.10","11.07"
"[object Object]","Chig Okonkwo","WAS","TE","TE","14.05","17.03","-","11.07","13.05"
"[object Object]","AJ Barner","SEA","TE","TE","14.05","17.04","15.02","11.06","15.06"
"[object Object]","Cooper Kupp","SEA","WR","WR","14.06","17.12","15.01","11.01","18.08"
"[object Object]","Cyrus Allen","KC","WR","WR","14.11","-","15.02","-","14.07"
"[object Object]","Terrance Ferguson","LAR","TE","TE","14.11","18.02","14.12","11.07","13.12"
"[object Object]","Dalton Schultz","HOU","TE","TE","14.11","18.03","15.01","11.07","14.04"
"[object Object]","C.J. Stroud","HOU","QB","QB","14.11","18.05","14.09","11.05","13.05"
"[object Object]","Daniel Jones","IND","QB","QB","15.01","18.08","14.03","11.07","13.01"
"[object Object]","Jalen McMillan","TB","WR","WR","15.02","18.06","14.10","11.09","14.03"
"[object Object]","Jauan Jennings","MIN","WR","WR","15.03","18.12","-","11.06","15.09"
"[object Object]","Malik Washington","MIA","WR","WR","15.06","-","-","-","15.06"
"[object Object]","Travis Hunter","JAX","WR","WR","15.06","15.06","10.11","-","14.07"
"[object Object]","Jaydon Blue","","RB","RB","15.09","19.12","-","11.06","16.04"
"[object Object]","Bryce Young","CAR","QB","QB","15.10","20.07","15.01","11.02","14.11"
"[object Object]","Cam Ward","TEN","QB","QB","15.10","20.04","15.01","11.05","14.05"
"[object Object]","James Conner","ARI","RB","RB","15.11","20.04","-","11.06","18.12"
"[object Object]","Caleb Douglas","MIA","WR","WR","15.11","-","-","-","15.11"
"[object Object]","Isaac TeSlaa","DET","WR","WR","16.01","20.09","-","11.05","18.03"
"[object Object]","Tre Tucker","LV","WR","WR","16.03","16.03","15.01","-","13.06"
"[object Object]","Justice Hill","BAL","RB","RB","16.11","-","15.01","-","18.09"
"[object Object]","Geno Smith","NYJ","QB","QB","16.11","-","-","-","16.11"
"[object Object]","Tank Dell","HOU","WR","WR","16.12","16.12","14.05","-","16.11"
"[object Object]","Skyler Bell","BUF","WR","WR","16.12","-","15.02","-","18.11"
"[object Object]","Darnell Washington","PIT","TE","TE","17.01","-","15.02","-","18.11"
"[object Object]","Kirk Cousins","LV","QB","QB","17.01","-","15.02","-","18.11"
"[object Object]","Dawson Knox","BUF","TE","TE","17.01","-","15.02","-","18.12"
"[object Object]","Zavion Thomas","CHI","WR","WR","17.01","-","15.02","-","18.12"
"[object Object]","Elijah Arroyo","SEA","TE","TE","17.01","-","15.02","-","18.12"
"[object Object]","Cole Kmet","CHI","TE","TE","17.01","-","15.02","-","18.12"
"[object Object]","Noah Gray","KC","TE","TE","17.01","-","15.02","-","18.12"
"[object Object]","Ja'Tavion Sanders","CAR","TE","TE","17.01","-","15.02","-","18.12"
"[object Object]","Tommy Tremble","CAR","TE","TE","17.01","-","15.02","-","18.12"
"[object Object]","Dylan Sampson","CLE","RB","RB","17.04","17.04","15.01","-","15.01"
"[object Object]","Omar Cooper Jr.","NYJ","WR","WR","17.05","17.05","-","-","15.06"
"[object Object]","Kayshon Boutte","HOU","WR","WR","17.08","17.08","-","-","15.07"
"[object Object]","Malachi Fields","NYG","WR","WR","17.10","17.10","-","-","16.08"
"[object Object]","Ray Davis","BUF","RB","RB","18.05","18.05","-","-","16.06"
"[object Object]","Charlie Kolar","LAC","TE","TE","18.05","-","-","-","18.05"
"[object Object]","Darren Waller","CAR","TE","TE","18.06","-","-","-","18.06"
"[object Object]","Jerry Jeudy","CLE","WR","WR","18.08","18.08","14.12","-","18.01"
"[object Object]","Malik Davis","DAL","RB","RB","18.09","-","-","-","18.09"
"[object Object]","Nicholas Singleton","TEN","RB","RB","18.09","18.09","-","-","18.07"
"[object Object]","Evan Engram","DEN","TE","TE","18.10","-","-","-","18.10"
"[object Object]","Samaje Perine","CIN","RB","RB","18.10","-","-","-","18.10"
"[object Object]","DeMario Douglas","NE","WR","WR","18.10","-","-","-","18.10"
"[object Object]","Michael Mayer","LV","TE","TE","18.10","-","-","-","18.10"
"[object Object]","Tyquan Thornton","KC","WR","WR","18.11","-","-","-","18.11"
"[object Object]","Jordan James","SF","RB","RB","18.11","-","-","-","18.11"
"[object Object]","Zachariah Branch","ATL","WR","WR","18.11","18.11","-","-","17.08"
"[object Object]","Mike Gesicki","CIN","TE","TE","18.11","-","-","-","18.11"
"[object Object]","George Holani","SEA","RB","RB","18.11","-","-","-","18.11"
"[object Object]","Deshaun Watson","CLE","QB","QB","18.11","-","-","-","18.11"
"[object Object]","Andrei Iosivas","CIN","WR","WR","18.11","-","-","-","18.11"
"[object Object]","Jahan Dotson","ATL","WR","WR","18.12","-","-","-","18.12"
"[object Object]","Carson Beck","ARI","QB","QB","18.12","-","-","-","18.12"
"[object Object]","Bryce Lance","NO","WR","WR","18.12","-","-","-","18.12"
"[object Object]","Adam Randall","BAL","RB","RB","18.12","-","-","-","18.12"
"[object Object]","Darius Slayton","NYG","WR","WR","18.12","-","-","-","18.12"
"[object Object]","Chris Brooks","GB","RB","RB","18.12","-","-","-","18.12"
"[object Object]","Xavier Hutchinson","HOU","WR","WR","18.12","-","-","-","18.12"
"[object Object]","Xavier Legette","CAR","WR","WR","18.12","-","-","-","18.12"
"[object Object]","Malik Benson","LV","WR","WR","18.12","-","-","-","18.12"
"[object Object]","Kalif Raymond","CHI","WR","WR","18.12","-","-","-","18.12"
"[object Object]","Hollywood Brown","PHI","WR","WR","18.12","-","-","-","18.12"
"[object Object]","Jalen Tolbert","MIA","WR","WR","18.12","-","-","-","18.12"
"[object Object]","Tutu Atwell","LAR","WR","WR","18.12","-","-","-","18.12"
"[object Object]","Emari Demercado","","RB","RB","18.12","-","-","-","18.12"
"[object Object]","DJ Giddens","IND","RB","RB","18.12","-","-","-","18.12"
"[object Object]","Brenen Thompson","LAC","WR","WR","18.12","-","-","-","18.12"
"[object Object]","Mack Hollins","NE","WR","WR","18.12","-","-","-","18.12"
"[object Object]","Kendrick Bourne","ARI","WR","WR","18.12","-","-","-","18.12"
"[object Object]","Noah Fant","NO","TE","TE","18.12","-","-","-","18.12"
"[object Object]","Ty Johnson","BUF","RB","RB","18.12","-","-","-","18.12"
"[object Object]","Devin Singletary","NYG","RB","RB","18.12","-","-","-","18.12"
"[object Object]","Olamide Zaccheaus","ATL","WR","WR","18.12","-","-","-","18.12"
"[object Object]","AJ Dillon","CAR","RB","RB","18.12","-","-","-","18.12"
"[object Object]","Calvin Austin III","NYG","WR","WR","18.12","-","-","-","18.12"
"[object Object]","Treylon Burks","WAS","WR","WR","18.12","-","-","-","18.12"
"[object Object]","Luke Musgrave","GB","TE","TE","18.12","-","-","-","18.12"
"[object Object]","Cedric Tillman","","WR","WR","18.12","-","-","-","18.12"
"[object Object]","Devontez Walker","BAL","WR","WR","18.12","-","-","-","18.12"
"[object Object]","Ben Sinnott","WAS","TE","TE","18.12","-","-","-","18.12"
"[object Object]","Roman Wilson","PIT","WR","WR","18.12","-","-","-","18.12"
"[object Object]","Isaiah Davis","NYJ","RB","RB","18.12","-","-","-","18.12"
"[object Object]","Will Shipley","PHI","RB","RB","18.12","-","-","-","18.12"
"[object Object]","Jordan Whittington","LAR","WR","WR","18.12","-","-","-","18.12"
"[object Object]","Tez Johnson","TB","WR","WR","18.12","-","-","-","18.12"
"[object Object]","Trevor Etienne","CAR","RB","RB","18.12","-","-","-","18.12"
"[object Object]","Tahj Brooks","CIN","RB","RB","18.12","-","-","-","18.12"
"[object Object]","Ollie Gordon II","MIA","RB","RB","18.12","-","-","-","18.12"
"[object Object]","Oscar Delp","NO","TE","TE","18.12","-","-","-","18.12"
"[object Object]","Jaylin Lane","WAS","WR","WR","18.12","-","-","-","18.12"
"[object Object]","LeQuint Allen Jr.","JAX","RB","RB","18.12","-","-","-","18.12"
"[object Object]","Justin Joly","","TE","TE","18.12","-","-","-","18.12"
"[object Object]","Nate Boerkircher","JAX","TE","TE","18.12","-","-","-","18.12"
"[object Object]","Chris Bell","MIA","WR","WR","19.05","19.05","-","-","17.01"
"[object Object]","David Njoku","LAC","TE","TE","19.07","19.07","15.02","-","18.07"
"[object Object]","Pat Bryant","DEN","WR","WR","19.08","19.08","-","-","15.02"
"[object Object]","Adonai Mitchell","NYJ","WR","WR","19.11","19.11","-","-","14.12"
"[object Object]","Jaylen Wright","MIA","RB","RB","20.02","20.02","-","-","18.12"
"[object Object]","Tre' Harris","LAC","WR","WR","20.02","20.02","-","-","14.04"
"[object Object]","Kimani Vidal","LAC","RB","RB","20.06","20.06","-","-","18.04"
"[object Object]","Ryan Flournoy","DAL","WR","WR","20.08","20.08","-","-","15.02"
"[object Object]","Kaytron Allen","WAS","RB","RB","20.09","20.09","-","-","18.10"
"[object Object]","Antonio Williams","WAS","WR","WR","20.10","20.10","-","-","18.10"
"[object Object]","Ted Hurst III","TB","WR","WR","20.12","20.12","-","-","17.07"
"[object Object]","Germie Bernard","PIT","WR","WR","21.01","21.01","-","-","18.01"
"[object Object]","Keon Coleman","BUF","WR","WR","21.02","21.02","-","-","18.08"
"[object Object]","Demond Claiborne","MIN","RB","RB","21.04","21.04","-","-","18.11"
"[object Object]","Gunnar Helm","TEN","TE","TE","21.04","21.04","-","-","17.07"
"[object Object]","Cade Otton","TB","TE","TE","21.06","21.06","-","-","16.12"
"[object Object]","Eli Stowers","PHI","TE","TE","21.09","21.09","-","-","18.12"
"[object Object]","Sean Tucker","TB","RB","RB","21.09","21.09","-","-","18.09"
"[object Object]","Calvin Ridley","TEN","WR","WR","21.11","21.11","14.12","-","17.11"
"[object Object]","Jacoby Brissett","ARI","QB","QB","21.11","21.11","-","-","17.09"
"[object Object]","Jake Tonges","SF","TE","TE","22.01","22.01","-","-","18.12"
"[object Object]","Tua Tagovailoa","ATL","QB","QB","22.06","22.06","-","-","18.11"
"[object Object]","Darnell Mooney","NYG","WR","WR","22.07","22.07","-","-","18.11"
"[object Object]","Tory Horton","SEA","WR","WR","22.08","22.08","-","-","18.12"
"[object Object]","Colby Parkinson","LAR","TE","TE","22.10","22.10","-","-","18.09"
"[object Object]","Theo Johnson","NYG","TE","TE","22.11","22.11","-","-","18.12"
"[object Object]","Troy Franklin","DEN","WR","WR","22.12","22.12","-","-","18.11"
"[object Object]","Emanuel Wilson","SEA","RB","RB","23.02","23.02","-","-","18.12"
"[object Object]","Kaleb Johnson","GB","RB","RB","50.07","50.07","15.02","-","18.12"
"[object Object]","Najee Harris","NYG","RB","RB","55.09","55.09","-","-","17.08"
"[object Object]","Chimere Dike","TEN","WR","WR","55.10","55.10","15.02","-","18.12"
"[object Object]","Jaylin Noel","HOU","WR","WR","56.04","56.04","-","-","17.12"
"[object Object]","Mason Taylor","NYJ","TE","TE","56.08","56.08","-","-","18.12"
"[object Object]","Brashard Smith","KC","RB","RB","56.09","56.09","-","-","18.12"
"[object Object]","Jack Bech","LV","WR","WR","57.05","57.05","-","-","18.12"
"[object Object]","Devaughn Vele","NO","WR","WR","57.08","57.08","-","-","16.06"
