"#","Team Name","User","Points","League Rank","Record"
"22031","What the Shough","okanogan61","79.18","12","0-2-0"
"22032","kendallcreek","kendallcreek","79.16","11","0-2-0"
"22033","Emotional Damage","stj00000000nes","79.16","11","0-2-0"
"22034","myerscody","myerscody","79.16","12","0-2-0"
"22035","Brown, Burrow, and Steal","gbiewer","79.16","11","0-2-0"
"22036","lotzofbrutal","lotzofbrutal","79.12","12","0-2-0"
"22037","Hurts So Good 🤫","domgv","79.12","11","0-2-0"
"22038","Deebo’s Bike","oskibob1","79.12","12","0-2-0"
"22039","jawbreaker333","jawbreaker333","79.06","12","0-2-0"
"22040","Silent Assassin's","zaya1986","79.06","12","0-2-0"
"22041","MEGALAFUDGE","bigfudge2001","79.06","12","0-2-0"
"22042","Reverse Zoe Hart Stack","fi94","79.04","12","0-2-0"
"22043","Reservoir Dogs","reservoirdogs1","79.04","12","0-2-0"
"22044","Boutte Hurts","phatboyslim","79.02","11","0-2-0"
"22045","EyeCSharks","eyecrain","79.02","11","0-2-0"
"22046","Its gonna be Maybe!","mckenziesampson","79.02","11","0-2-0"
"22047","angryyoungman","angryyoungman","79.02","11","0-2-0"
"22048","phins2000","phins2000","79.02","11","0-2-0"
"22049","jmillerunr","jmillerunr","79.00","12","0-2-0"
"22050","Pickle Juice Jones","ryandhoover1","79.00","11","0-2-0"
"22051","sieyes101","sieyes101","79.00","12","0-2-0"
"22052","gunnerynerd","gunnerynerd","79.00","12","0-2-0"
"22053","Don’t Finish Last","pjsisk99","79.00","12","0-2-0"
"22054","Third and Lager","sinclairwill","78.96","11","0-2-0"
"22055","bryyceee","bryyceee","78.94","12","0-2-0"
"22056","Click Click Skatteboom","midwestmadmann","78.92","12","0-2-0"
"22057","Mayeday Mayeday Mayeday","jedijerome","78.92","12","0-2-0"
"22058","kwheezy5","kwheezy5","78.90","12","0-2-0"
"22059","Catch 22","nastynatedawg","78.90","12","0-2-0"
"22060","madscience","madscience","78.90","12","0-2-0"
"22061","boltgang25","boltgang25","78.86","12","0-2-0"
"22062","ghostland1974","ghostland1974","78.86","12","0-2-0"
"22063","flyeaglesfly070","flyeaglesfly070","78.86","12","0-2-0"
"22064","dirtydonut","dirtydonut","78.84","12","0-2-0"
"22065","jared_klein","jared_klein","78.82","12","0-2-0"
"22066","Crispy Sock","bazzaz","78.82","12","0-2-0"
"22067","Drake Drake Maye Maye","patsed12","78.82","12","0-2-0"
"22068","PoopKatana","devco","78.82","12","0-2-0"
"22069","Warning shot","ceromiedo59","78.80","12","0-2-0"
"22070","Autodrafters suck","cdougherty","78.80","11","0-2-0"
"22071","Dakstreet Boyz","baleedat","78.80","12","0-2-0"
"22072","MegalaBurreaux","stevenlitwiller","78.76","11","0-2-0"
"22073","Go Birds!","frankphilly","78.76","12","0-2-0"
"22074","Deuce in Hole.","sucker4pitts","78.76","12","0-2-0"
"22075","Josh the Punk Guy","jtpg","78.76","12","0-2-0"
"22076","carvedup","carvedup","78.74","12","0-2-0"
"22077","nnewlove","nnewlove","78.74","12","0-2-0"
"22078","rbergz","rbergz","78.74","11","0-2-0"
"22079","The Achanes","drjustice8","78.74","11","0-2-0"
"22080","Profit$ of Rage","tkersh","78.70","11","0-2-0"
"22081","Mikes middle toe","bigoldty","78.66","10","0-2-0"
"22082","Londons got talent","clawswag","78.66","7","1-1-0"
"22083","windraider","windraider","78.66","12","0-2-0"
"22084","Old Kinderhook","bowlerman5000","78.66","12","0-2-0"
"22085","steelballs12","steelballs12","78.60","12","0-2-0"
"22086","Drafted to be Great","kbosch","78.60","11","0-2-0"
"22087","topgun66","topgun66","78.56","12","0-2-0"
"22088","artwill56","artwill56","78.56","12","0-2-0"
"22089","heinzy5","heinzy5","78.56","12","0-2-0"
"22090","msu1kuep","msu1kuep","78.54","12","0-2-0"
"22091","boten25","boten25","78.52","12","0-2-0"
"22092","jjfender541","jjfender541","78.52","12","0-2-0"
"22093","MarShawn Lloyd Christmas","themooneyham","78.50","12","0-2-0"
"22094","The Skatt in the Hat","roughriders15","78.50","12","0-2-0"
"22095","cheffrank21","cheffrank21","78.46","12","0-2-0"
"22096","The Kluneberg","beefthief","78.46","12","0-2-0"
"22097","Boot Tuten Boogie","chrisdunhamjr","78.46","11","0-2-0"
"22098","Slim Pickens","roguegrackle","78.44","12","0-2-0"
"22099","mem49er","mem49er","78.42","12","0-2-0"
"22100","rstevo33","rstevo33","78.42","12","0-2-0"
"22101","itsbuddha","itsbuddha","78.42","11","0-2-0"
"22102","snowwolf900","snowwolf900","78.42","12","0-2-0"
"22103","gavinkai","gavinkai","78.42","12","0-2-0"
"22104","We’re BAD (Ass.o)","commishcarter","78.42","12","0-2-0"
"22105","Saratoga Wizards","gunnarjohn57","78.40","12","0-2-0"
"22106","Shough this noise","mrtko","78.40","12","0-2-0"
"22107","ounit","ounit","78.40","12","0-2-0"
"22108","ickydabs710","ickydabs710","78.40","12","0-2-0"
"22109","milkers","milkers","78.36","12","0-2-0"
"22110","Ja'Marrio Kart","tanbeman","78.36","12","0-2-0"
"22111","Hangin with hernandez","k0eyjasper09","78.34","12","0-2-0"
"22112","Sugar McGavin","mootz","78.32","11","0-2-0"
"22113","bgb07","bgb07","78.32","12","0-2-0"
"22114","The Hurts Foundation","aklein24","78.24","12","0-2-0"
"22115","Tuten On Them","salbanks8","78.24","11","0-2-0"
"22116","thelazygenius","thelazygenius","78.24","12","0-2-0"
"22117","Gronks Yacht Club","dandouglas","78.22","11","0-2-0"
"22118","nimblenomad","nimblenomad","78.22","11","0-2-0"
"22119","xhalfnhalfx","xhalfnhalfx","78.22","11","0-2-0"
"22120","YerGunnaLoveIt!","foxwalk","78.12","12","0-2-0"
"22121","dmueller09","dmueller09","78.12","12","0-2-0"
"22122","Brown in the Pitts","justthebest","78.12","12","0-2-0"
"22123","eeraae","eeraae","78.12","12","0-2-0"
"22124","skipford","skipford","78.12","12","0-2-0"
"22125","megalodondraper","megalodondraper","78.10","11","0-2-0"
"22126","kekambuhs","kekambuhs","78.10","12","0-2-0"
"22127","jet3288","jet3288","78.10","12","0-2-0"
"22128","sneakinscott","sneakinscott","78.06","12","0-2-0"
"22129","95sam","95sam","78.06","12","0-2-0"
"22130","Emeka Egbigboogieman","dankdoc","78.06","12","0-2-0"
"22131","123peat","123peat","78.06","12","0-2-0"
"22132","Welcome to Loveland","wafflehz","78.06","11","0-2-0"
"22133","Green Eggs & Hampton","pedritopa","78.04","12","0-2-0"
"22134","Love Maye Nabers","frankwhitlatch","78.02","11","0-2-0"
"22135","mccollough11","mccollough11","78.00","12","0-2-0"
"22136","micahharri21","micahharri21","78.00","12","0-2-0"
"22137","zackruss","zackruss","77.96","12","0-2-0"
"22138","cziggy343","cziggy343","77.96","11","0-2-0"
"22139","One Team to Rule Them All","wreckingcrew234","77.94","11","0-2-0"
"22140","GufflessWonder","gufflesswonder","77.94","11","0-2-0"
"22141","gtsander","gtsander","77.92","12","0-2-0"
"22142","Icing on the cook","bigred112233","77.92","11","0-2-0"
"22143","Fortune Teller","4chin","77.90","12","0-2-0"
"22144","Brazilian Invasion 🇧🇷","celiofael","77.90","11","0-2-0"
"22145","Cooking With Madison Beer","hughestheaccused","77.86","11","0-2-0"
"22146","jpkillham","jpkillham","77.86","12","0-2-0"
"22147","bloomhuffjb","bloomhuffjb","77.86","12","0-2-0"
"22148","NorthiesHard11","kingboz103","77.84","12","0-2-0"
"22149","Drake's Cakes","rfancera426","77.82","11","0-2-0"
"22150","cpeeps1997","cpeeps1997","77.82","12","0-2-0"
"22151","andyslosttooth","andyslosttooth","77.82","12","0-2-0"
"22152","xavierfinland","xavierfinland","77.80","11","0-2-0"
"22153","friarzfanatic","friarzfanatic","77.76","12","0-2-0"
"22154","jnkawa","jnkawa","77.76","12","0-2-0"
"22155","Nabers gonna Nabe","ngriesbach","77.72","12","0-2-0"
"22156","Lord of Gandzona","richards27","77.72","8","1-1-0"
"22157","flaccooncracco","flaccooncracco","77.72","12","0-2-0"
"22158","rafinha","rafinha","77.72","12","0-2-0"
"22159","orangecrush100","orangecrush100","77.66","12","0-2-0"
"22160","Burrow, Chase, & Assoc.","grumpygoose","77.66","12","0-2-0"
"22161","mortanz","mortanz","77.66","12","0-2-0"
"22162","mannyand0904","mannyand0904","77.64","12","0-2-0"
"22163","tpkmama","tpkmama","77.62","12","0-2-0"
"22164","Gordon Gekko","unsackable","77.56","12","0-2-0"
"22165","Jet 2 Holiday","jaycee4life84","77.56","12","0-2-0"
"22166","schweisenberg","schweisenberg","77.54","12","0-2-0"
"22167","jamsler","jamsler","77.54","12","0-2-0"
"22168","jpfisch","jpfisch","77.52","12","0-2-0"
"22169","Not very likely","meganitwit","77.52","12","0-2-0"
"22170","LSU Browns","narcopolo25","77.52","12","0-2-0"
"22171","WHAT DID HE SAYYY!","goodie7782","77.52","12","0-2-0"
"22172","aztec_arnold","aztec_arnold","77.50","11","0-2-0"
"22173","Super Ja'Marrio Brothers","devonthebest","77.46","12","0-2-0"
"22174","jwilson102","jwilson102","77.46","12","0-2-0"
"22175","lessneadjr","lessneadjr","77.46","12","0-2-0"
"22176","Golfa007","erecher","77.46","12","0-2-0"
"22177","mrnick36","mrnick36","77.46","12","0-2-0"
"22178","tbonesteak04","tbonesteak04","77.42","12","0-2-0"
"22179","Replacements","mcdrizzle","77.42","11","0-2-0"
"22180","ftmyerspackerbacker","ftmyerspackerbacker","77.42","12","0-2-0"
"22181","emcclarey","emcclarey","77.42","12","0-2-0"
"22182","Substation Overload","winders20","77.42","12","0-2-0"
"22183","toomanygs","toomanygs","77.40","11","0-2-0"
"22184","2Popeyes 2ChickenTender","crazymoneyboi","77.40","12","0-2-0"
"22185","prestonr21","prestonr21","77.36","12","0-2-0"
"22186","mbzetterberg","mbzetterberg","77.34","12","0-2-0"
"22187","eruschman","eruschman","77.34","12","0-2-0"
"22188","aklint12","aklint12","77.32","12","0-2-0"
"22189","slexluther","slexluther","77.32","12","0-2-0"
"22190","Ayyy! Chane","loytomaki","77.32","12","0-2-0"
"22191","NicoSuavé&theNacuaSweats","tubastu","77.26","12","0-2-0"
"22192","jhammer88","jhammer88","77.26","8","1-1-0"
"22193","The Cookfather","sundance43","77.24","12","0-2-0"
"22194","cappool779","cappool779","77.24","11","0-2-0"
"22195","Manu Ad Ferrum","aurelian929","77.20","12","0-2-0"
"22196","Mongo is appalled","shadypelican","77.20","11","0-2-0"
"22197","All or Nothing","aman1029","77.16","12","0-2-0"
"22198","ChicagoDogg","moranks187","77.16","12","0-2-0"
"22199","buckettipper","buckettipper","77.16","11","0-2-0"
"22200","magesticmagician","magesticmagician","77.16","11","0-2-0"
"22201","drew12f","drew12f","77.14","12","0-2-0"
"22202","dodgerdoggs","dodgerdoggs","77.14","10","0-2-0"
"22203","Im cooked","0scottyp","77.12","11","0-2-0"
"22204","WetBlanket","ty88white","77.10","12","0-2-0"
"22205","Bengal Tingle","sfcfrye","77.06","12","0-2-0"
"22206","diswan5","diswan5","77.04","11","0-2-0"
"22207","redflyer89","redflyer89","77.04","12","0-2-0"
"22208","Maye Day","steamroller9522","77.02","12","0-2-0"
"22209","dandamanstan101","dandamanstan101","77.02","12","0-2-0"
"22210","Scared Pittsless","crazyt410","77.02","11","0-2-0"
"22211","kalemalderan","kalemalderan","77.02","12","0-2-0"
"22212","Slim Pickens","dborrowman","77.00","11","0-2-0"
"22213","Kraft Jackson Cheeseheads","btgreene","76.96","11","0-2-0"
"22214","HamptonInnFreeBreakfast","jeantyism","76.96","12","0-2-0"
"22215","rabzzz","rabzzz","76.96","11","0-2-0"
"22216","ohnoitsmike","ohnoitsmike","76.96","12","0-2-0"
"22217","gsus1919","gsus1919","76.96","12","0-2-0"
"22218","The Swarm","kboogie15","76.96","12","0-2-0"
"22219","Sod squad","rtater93","76.94","12","0-2-0"
"22220","WhatsUpJerks","whatsupjerks","76.94","12","0-2-0"
"22221","boomboombust","boomboombust","76.92","12","0-2-0"
"22222","icobro","icobro","76.92","12","0-2-0"
"22223","lion2myself","lion2myself","76.92","11","0-2-0"
"22224","Little Buff Boys","tpink68","76.92","12","0-2-0"
"22225","Dak Knight Rises","masoncrew","76.90","12","0-2-0"
"22226","Butterfly stretches","supersheep536","76.86","12","0-2-0"
"22227","nineream","nineream","76.84","10","0-2-0"
"22228","LIKNUTS","racoonaholik","76.82","12","0-2-0"
"22229","Haslam Rubs my Watson","tanknichols227","76.82","12","0-2-0"
"22230","tommygee66","tommygee66","76.82","12","0-2-0"
"22231","Sons of Alba","hstewart1058","76.80","12","0-2-0"
"22232","Mike’s Sleepers","kaden0032","76.76","12","0-2-0"
"22233","curtscrusher","curtscrusher","76.76","12","0-2-0"
"22234","standingonbiz","standingonbiz","76.76","12","0-2-0"
"22235","CoachHogg","coachhogg12","76.76","12","0-2-0"
"22236","asneed1190","asneed1190","76.76","12","0-2-0"
"22237","The Pitts of despair","sansturbot","76.76","12","0-2-0"
"22238","DeVonta's Inferno","ethankarls","76.72","12","0-2-0"
"22239","jsanz88","jsanz88","76.70","12","0-2-0"
"22240","Chase the Dream","javendano585","76.66","12","0-2-0"
"22241","dinergal40","dinergal40","76.66","10","0-2-0"
"22242","Shark Bait","timmar13","76.66","11","0-2-0"
"22243","General Soreness","mvpullano","76.64","12","0-2-0"
"22244","RedZoneBully","redzonebully","76.64","12","0-2-0"
"22245","Silence of the Lamb","andrewadermann","76.62","12","0-2-0"
"22246","Brew Crew","jbrewer0721","76.60","12","0-2-0"
"22247","Recepticons","profdogwood","76.54","11","0-2-0"
"22248","gmaganajr","gmaganajr","76.46","12","0-2-0"
"22249","griddycommitt33","griddycommitt33","76.44","12","0-2-0"
"22250","Amurphicathebeautiful","smashmurf","76.42","12","0-2-0"
"22251","monkeyman21","monkeyman21","76.40","11","0-2-0"
"22252","1thescrubs1","1thescrubs1","76.40","12","0-2-0"
"22253","kprosicki3","kprosicki3","76.40","12","0-2-0"
"22254","stringage88","stringage88","76.36","12","0-2-0"
"22255","The Price is Right","itssjustscience","76.36","12","0-2-0"
"22256","murrmachine","murrmachine","76.36","12","0-2-0"
"22257","Loveland Actually","rallydally18","76.32","12","0-2-0"
"22258","CeeDeez Nutz","wsupmitch","76.32","12","0-2-0"
"22259","Purple People Eaters","noceilingz","76.32","12","0-2-0"
"22260","Metcalf & Mayehem","erniewillis","76.32","11","0-2-0"
"22261","c6ls3","c6ls3","76.30","12","0-2-0"
"22262","jjbb","jjbb","76.26","12","0-2-0"
"22263","Jamar-Burrow Man","akbearsfan54","76.26","11","0-2-0"
"22264","skittlemclogs","skittlemclogs","76.26","12","0-2-0"
"22265","hajilicious","hajilicious","76.26","12","0-2-0"
"22266","jamescordes10","jamescordes10","76.26","11","0-2-0"
"22267","captainzaheer","captainzaheer","76.24","12","0-2-0"
"22268","RUN C.M.C.","sloppysteve","76.24","12","0-2-0"
"22269","deeliver","deeliver","76.24","12","0-2-0"
"22270","jczinko","jczinko","76.24","12","0-2-0"
"22271","wileywhit","wileywhit","76.24","12","0-2-0"
"22272","avenuejones","avenuejones","76.22","12","0-2-0"
"22273","slogterman","slogterman","76.22","11","0-2-0"
"22274","Colston Creamery","stevegroff8","76.20","12","0-2-0"
"22275","Rafi's Pocket Dogs","cobblepot13","76.20","12","0-2-0"
"22276","Because Of The Bones","rmcbear08","76.20","11","0-2-0"
"22277","conburgz","conburgz","76.16","12","0-2-0"
"22278","dalbarkat","dalbarkat","76.16","12","0-2-0"
"22279","townsact79","townsact79","76.16","12","0-2-0"
"22280","LaPorta Potties","brcrc24","76.16","12","0-2-0"
"22281","bubfry32","bubfry32","76.12","12","0-2-0"
"22282","atrocities","atrocities","76.12","12","0-2-0"
"22283","Baker's Potatoes","fallabel","76.12","11","0-2-0"
"22284","darthrevis3","darthrevis3","76.12","12","0-2-0"
"22285","erikstubbs55","erikstubbs55","76.10","11","0-2-0"
"22286","slinkykiminki","slinkykiminki","76.10","12","0-2-0"
"22287","The European Capitals","dylanjagger","76.06","12","0-2-0"
"22288","miiicah","miiicah","76.06","12","0-2-0"
"22289","Hopefully Not Last","davidson737","76.04","12","0-2-0"
"22290","nemesis4200","nemesis4200","76.04","12","0-2-0"
"22291","Flamin’ Hot Keato","keatii","76.04","12","0-2-0"
"22292","stepbrother007","stepbrother007","76.02","12","0-2-0"
"22293","bobbarker527","bobbarker527","76.02","12","0-2-0"
"22294","OnBurrowsBack","tayton86","75.96","12","0-2-0"
"22295","1hotrods1","1hotrods1","75.96","11","0-2-0"
"22296","Merciless Munkz","munz","75.94","12","0-2-0"
"22297","Jordan “Love Bites”","tbone7722","75.86","12","0-2-0"
"22298","bunnerball25","bunnerball25","75.86","12","0-2-0"
"22299","Trophy Trotters","bkuhn13","75.86","11","0-2-0"
"22300","Achane Lightning","pprifogle","75.82","12","0-2-0"
"22301","bobbyfoosball","bobbyfoosball","75.82","12","0-2-0"
"22302","boneyarddogs","boneyarddogs","75.82","12","0-2-0"
"22303","PriceOfLoveInThaStribClub","breakdat","75.82","12","0-2-0"
"22304","tacobell59","tacobell59","75.76","12","0-2-0"
"22305","bbosun","bbosun","75.76","12","0-2-0"
"22306","McCaffrey’s Angels","gajuan20","75.74","12","0-2-0"
"22307","Jax on, Jax Off","tanders008","75.72","12","0-2-0"
"22308","extracreamy","extracreamy","75.72","12","0-2-0"
"22309","Light of Genesis","gjameswalton","75.72","11","0-2-0"
"22310","cameronplowman","cameronplowman","75.70","12","0-2-0"
"22311","zachziger","zachziger","75.70","12","0-2-0"
"22312","UDK Allstars","jpantherz10","75.66","12","0-2-0"
"22313","MVP17","dcoates22","75.66","12","0-2-0"
"22314","Finkle Fan Club","finkle_fan_club","75.66","12","0-2-0"
"22315","lukenicol96","lukenicol96","75.64","12","0-2-0"
"22316","gyorgydeak","gyorgydeak","75.64","12","0-2-0"
"22317","del91","del91","75.64","12","0-2-0"
"22318","coragles4523","coragles4523","75.62","12","0-2-0"
"22319","MegalaDon","gridironguru11","75.56","12","0-2-0"
"22320","lifelion","lifelion","75.56","12","0-2-0"
"22321","trashmafia20","trashmafia20","75.54","12","0-2-0"
"22322","poulin3","poulin3","75.54","12","0-2-0"
"22323","alexandr1010","alexandr1010","75.52","12","0-2-0"
"22324","draftpunk14","draftpunk14","75.52","11","0-2-0"
"22325","Marky Marks Funky Bunch","jr41288","75.52","12","0-2-0"
"22326","rgarza47","rgarza47","75.52","12","0-2-0"
"22327","mcruz8907","mcruz8907","75.52","12","0-2-0"
"22328","rsharde","rsharde","75.50","12","0-2-0"
"22329","Fourth Down Syndrome","elgoliath","75.46","12","0-2-0"
"22330","Seal Team Nix","jsavv24","75.44","12","0-2-0"
"22331","Golden Co_ker' Loveland","dididraftokay","75.44","12","0-2-0"
"22332","Chase'n Dubs","bingbong007","75.44","12","0-2-0"
"22333","Muad'Breece","kurbondski","75.42","12","0-2-0"
"22334","Puka Nachewa","jgietz74","75.42","12","0-2-0"
"22335","bonzo1854","bonzo1854","75.42","12","0-2-0"
"22336","jordanz136","jordanz136","75.40","12","0-2-0"
"22337","Sept. 25 2006","mikewatkins5","75.40","12","0-2-0"
"22338","burtmaklinfbi","burtmaklinfbi","75.36","12","0-2-0"
"22339","waveofbabies44","waveofbabies44","75.36","12","0-2-0"
"22340","Mike’s Nike Mug","laces0u7","75.36","12","0-2-0"
"22341","Waddle It Be?","dwinter4","75.36","12","0-2-0"
"22342","thaNo!d","thanoid","75.34","12","0-2-0"
"22343","gatorheels23","gatorheels23","75.32","8","1-1-0"
"22344","loganinthenorth","loganinthenorth","75.32","11","0-2-0"
"22345","miwookie","miwookie","75.32","12","0-2-0"
"22346","GallopinGoats","gallopingoat","75.26","12","0-2-0"
"22347","School of Brock","dugarroba","75.26","12","0-2-0"
"22348","ButterflyStretches","nottodayzurg","75.26","12","0-2-0"
"22349","Please be Mcbride","nupify","75.24","11","0-2-0"
"22350","Old Greg’s Swamp Donkey","killahdev461","75.16","12","0-2-0"
"22351","Cum on Ride Achane","wdittus","75.16","12","0-2-0"
"22352","thompbo","thompbo","75.14","12","0-2-0"
"22353","mrob1192","mrob1192","75.12","11","0-2-0"
"22354","silver007fox","silver007fox","75.12","12","0-2-0"
"22355","Canadian Bacon","justinmoffat","75.06","12","0-2-0"
"22356","purebredkauaian","purebredkauaian","75.06","12","0-2-0"
"22357","njphillips12","njphillips12","75.06","12","0-2-0"
"22358","The Drissling Pitts","manitobastrevy","75.06","12","0-2-0"
"22359","TheEmpireStrikesBarkley","hadybear2013","75.04","12","0-2-0"
"22360","calebjarrell","calebjarrell","75.02","12","0-2-0"
"22361","Green Eggs and Hampton","derekstacy","75.02","12","0-2-0"
"22362","Picken 4 brown dodo","cheverlay011","75.02","12","0-2-0"
"22363","papathom","papathom","75.00","12","0-2-0"
"22364","ripkenb","ripkenb","74.96","12","0-2-0"
"22365","tannouster","tannouster","74.96","12","0-2-0"
"22366","FantasyJedi","fantasyjedi361","74.96","12","0-2-0"
"22367","milkmoney15","milkmoney15","74.96","12","0-2-0"
"22368","Château d'eau","regularjt","74.96","11","0-2-0"
"22369","honeybadger1986","honeybadger1986","74.92","12","0-2-0"
"22370","tldukestang","tldukestang","74.90","12","0-2-0"
"22371","MegalAdmin 2.0","chipchiphooray","74.86","12","0-2-0"
"22372","snook007","snook007","74.86","12","0-2-0"
"22373","dr web","drwebbmw","74.86","12","0-2-0"
"22374","huesllyn","huesllyn","74.86","12","0-2-0"
"22375","mikebizzy","mikebizzy","74.82","12","0-2-0"
"22376","michaelfantasywinner","michaelfantasywinner","74.82","12","0-2-0"
"22377","The Encino Men","dan49ers","74.82","11","0-2-0"
"22378","Drake & Josh","camsine10","74.76","12","0-2-0"
"22379","Football Head","badprodigy","74.74","12","0-2-0"
"22380","That’s What He Saiiiidd","jreaper510","74.72","12","0-2-0"
"22381","imyourhucklberry22","imyourhucklberry22","74.72","12","0-2-0"
"22382","kindastupid","kindastupid","74.72","12","0-2-0"
"22383","Puka and friends","mattw07","74.70","12","0-2-0"
"22384","The Stafford London","rishipuff","74.70","12","0-2-0"
"22385","cajunraiders","cajunraiders","74.70","12","0-2-0"
"22386","numberjuan","juanisnumerojuan","74.66","12","0-2-0"
"22387","mburrows42","mburrows42","74.66","12","0-2-0"
"22388","zbfor3","zbfor3","74.66","12","0-2-0"
"22389","minmann24","minmann24","74.64","12","0-2-0"
"22390","Jason's Hall of Fame Bust","madscientist486","74.64","12","0-2-0"
"22391","SCLSU Mud Dogs","tjankinz","74.62","12","0-2-0"
"22392","smokinjay312","smokinjay312","74.62","12","0-2-0"
"22393","Mayekin’ Brown-ies","aarrington88","74.62","12","0-2-0"
"22394","Ay Ay Ron","ayayron1988","74.56","12","0-2-0"
"22395","jallax13","jallax13","74.54","12","0-2-0"
"22396","indianat91","indianat91","74.54","12","0-2-0"
"22397","chasedubs","chasedubs","74.54","12","0-2-0"
"22398","ktschultz99","ktschultz99","74.54","12","0-2-0"
"22399","Brown Out in the Hamptons","jordburg","74.52","12","0-2-0"
"22400","Touchdown Gods","touchdowngods","74.50","12","0-2-0"
"22401","doinit","doinit","74.46","12","0-2-0"
"22402","bigc91789","bigc91789","74.46","8","1-1-0"
"22403","craiger23","craiger23","74.46","12","0-2-0"
"22404","dajawntesmith","dajawntesmith","74.46","12","0-2-0"
"22405","romansmisfits","romansmisfits","74.42","12","0-2-0"
"22406","Fergalicious","bennetth1882","74.40","12","0-2-0"
"22407","chompssss","chompssss","74.36","12","0-2-0"
"22408","Free the Green Bay One!","mitmatmorg","74.26","11","0-2-0"
"22409","coryr27","coryr27","74.26","12","0-2-0"
"22410","WR 2 and a Cup of Joe","mandrus","74.26","12","0-2-0"
"22411","Mr McGibblets","justind14","74.24","12","0-2-0"
"22412","abayoneto","abayoneto","74.24","12","0-2-0"
"22413","skyleroot","skyleroot","74.24","12","0-2-0"
"22414","riversian347","riversian347","74.22","12","0-2-0"
"22415","Love Hurts","girlmom","74.22","12","0-2-0"
"22416","roga6","roga6","74.16","12","0-2-0"
"22417","hypeyeti","hypeyeti","74.14","12","0-2-0"
"22418","oldcoach1414","oldcoach1414","74.14","12","0-2-0"
"22419","dakotap1997","dakotap1997","74.12","12","0-2-0"
"22420","solidgold49","solidgold49","74.12","11","0-2-0"
"22421","Sage","supersage711","74.10","12","0-2-0"
"22422","HamptonIn","cheebo05","74.04","12","0-2-0"
"22423","Immaculate Concepcion","jamiegreen","74.02","12","0-2-0"
"22424","Dak to the Future","bbernarde","74.00","12","0-2-0"
"22425","Dirty Mike & the Boys","dustinl1332","73.96","10","0-2-0"
"22426","The Price Is Right","cstimpson11","73.96","12","0-2-0"
"22427","Andy’s Creeper Voice","surgenocide","73.96","12","0-2-0"
"22428","Nunya Business","weberk732011","73.94","12","0-2-0"
"22429","nfass1004","nfass1004","73.94","12","0-2-0"
"22430","dezcaughtdaball","dezcaughtdaball","73.94","12","0-2-0"
"22431","Auto-Mahomie","mymahomie","73.90","12","0-2-0"
"22432","jolfather","jolfather","73.90","12","0-2-0"
"22433","The Kirbstompers","pillowfighter11","73.90","12","0-2-0"
"22434","steelerj2","steelerj2","73.86","12","0-2-0"
"22435","The Skat Men","mahgiix","73.86","12","0-2-0"
"22436","Chasin down brown","thrifstoremanager","73.80","12","0-2-0"
"22437","rmpartain","rmpartain","73.80","12","0-2-0"
"22438","mgali1","mgali1","73.80","11","0-2-0"
"22439","No Hope","ianashley14","73.76","12","0-2-0"
"22440","guywtf","guywtf","73.76","12","0-2-0"
"22441","Super Effucktive","dannyrgd","73.76","12","0-2-0"
"22442","Chase These Bowers Nuts","dayoop27","73.66","12","0-2-0"
"22443","herekwittykwitty","herekwittykwitty","73.66","12","0-2-0"
"22444","labue23","labue23","73.66","11","0-2-0"
"22445","mechdanical","mechdanical","73.66","11","0-2-0"
"22446","Touchdown By an Angel","momentofzen","73.66","12","0-2-0"
"22447","jwoody331","jwoody331","73.60","12","0-2-0"
"22448","gloobicon","gloobicon","73.56","12","0-2-0"
"22449","joe_fop","joe_fop","73.54","12","0-2-0"
"22450","Small Shark in a Big Pond","richmartin16","73.50","12","0-2-0"
"22451","schoolboyyq","schoolboyyq","73.50","12","0-2-0"
"22452","Tickle my Purdy Tate","beetlehips","73.46","12","0-2-0"
"22453","Kilpatrick Detention Cntr","broloswagginses","73.46","12","0-2-0"
"22454","arubatude","arubatude","73.46","12","0-2-0"
"22455","thewhoppers","thewhoppers","73.42","12","0-2-0"
"22456","The Death Squad","dragonivxx","73.40","12","0-2-0"
"22457","Marlon Mack’s Legacy","samg1114","73.36","12","0-2-0"
"22458","spoooonman","spoooonman","73.36","8","1-1-0"
"22459","Unsolicited Nix Pix","imakeherhowell","73.34","11","0-2-0"
"22460","buttahchops","buttahchops","73.34","12","0-2-0"
"22461","whatsaflex","whatsaflex","73.30","12","0-2-0"
"22462","sexy7s","sexy7s","73.30","12","0-2-0"
"22463","stockton30","stockton30","73.26","12","0-2-0"
"22464","mariachikakashi","mariachikakashi","73.26","11","0-2-0"
"22465","dankap0tamus","dankap0tamus","73.26","12","0-2-0"
"22466","wgman16","wgman16","73.22","12","0-2-0"
"22467","chazlock","chazlock","73.22","12","0-2-0"
"22468","Bromans Empire","bromans357","73.22","12","0-2-0"
"22469","Ceedeez Nutz","abillinger","73.20","12","0-2-0"
"22470","_____","_____","73.16","12","0-2-0"
"22471","buckeyespartyoffive","buckeyespartyoffive","73.16","12","0-2-0"
"22472","Massaging My Watson","xcliipse","73.16","12","0-2-0"
"22473","tacoliver","tacoliver","73.14","12","0-2-0"
"22474","kransy","kransy","73.14","12","0-2-0"
"22475","49er4everf8hful","49er4everf8hful","73.12","12","0-2-0"
"22476","Rooten Tuten","hutch141","73.12","12","0-2-0"
"22477","yetski","yetski","73.10","12","0-2-0"
