"#","Team Name","User","Points","League Rank","Record"
"297","deltahg","deltahg","183.20","1","2-0-0"
"298","Chasing K9’s Swiftly","hurtemsoftly","183.20","1","2-0-0"
"299","JSN Bourne","kherrera119","183.20","1","2-0-0"
"300","It Hurts When IP","stormydaniels69","183.12","1","2-0-0"
"301","smoothops69","smoothops69","183.12","1","2-0-0"
"302","zenrising","zenrising","183.10","1","2-0-0"
"303","Jefferson Airplane","ianwilloughby","183.06","1","2-0-0"
"304","Unc Shine","nickb1225","183.00","1","2-0-0"
"305","sdg131516","sdg131516","182.96","1","2-0-0"
"306","otownsteveo","otownsteveo","182.94","1","2-0-0"
"307","The Illusionists","flow22","182.92","1","2-0-0"
"308","excellent_gravy","excellent_gravy","182.90","1","2-0-0"
"309","spezia","spezia","182.90","1","2-0-0"
"310","Straight up York’n iT","kingloser","182.86","1","2-0-0"
"311","savich1029","savich1029","182.76","1","2-0-0"
"312","Josh Allen Triple Stack","wicky1","182.76","1","2-0-0"
"313","Dan Flashes","danthegreat","182.76","1","2-0-0"
"314","jscottfantasy","jscottfantasy","182.66","2","2-0-0"
"315","Dirty Mike and The Boys","brantheman","182.66","1","2-0-0"
"316","Islamic Republic of Japan","agdubz9000","182.66","1","2-0-0"
"317","Mike Feet Pics","griddyongrave","182.60","1","2-0-0"
"318","burghforged","burghforged","182.50","1","2-0-0"
"319","yourboyroger","yourboyroger","182.50","1","2-0-0"
"320","poppop215","poppop215","182.46","1","2-0-0"
"321","Royal Harbor Prawns","princeprawn","182.42","1","2-0-0"
"322","Bijan's Boyz","cowboyfan1412","182.40","1","2-0-0"
"323","sfaulk26","sfaulk26","182.36","1","2-0-0"
"324","Amon Ra Dogging","itsajesteves","182.36","1","2-0-0"
"325","Emmett’s Johnson","thevinnytestaverde","182.30","1","2-0-0"
"326","isaactph","isaactph","182.26","2","2-0-0"
"327","Mega Al Bundy","hollywoodravens","182.26","1","2-0-0"
"328","Bullseye with a Dart","jontymoore","182.20","1","2-0-0"
"329","ROaStB3aSt","roastb3ast","182.16","1","2-0-0"
"330","jthaughey","jthaughey","182.16","1","2-0-0"
"331","kingoffaces","kingoffaces","182.06","1","2-0-0"
"332","Maye_Yetti_Breece_Swift","nickfor","182.02","1","2-0-0"
"333","krw724","krw724","182.00","1","2-0-0"
"334","beachgeek","beachgeek","182.00","1","2-0-0"
"335","cbw","cbw","181.98","1","2-0-0"
"336","Arizona Elite","xecration92","181.94","1","2-0-0"
"337","fermandomandoza","fermandomandoza","181.94","1","2-0-0"
"338","Jalens Washingtons","krabchella","181.92","1","2-0-0"
"339","JJettas2Holiday","seabs2100","181.92","1","2-0-0"
"340","Golden Spires","sfavela2","181.90","2","2-0-0"
"341","Lamark it #8 Dude","malico23","181.86","1","2-0-0"
"342","drew773","drew773","181.86","1","2-0-0"
"343","I got [©️ STRIKE] on it!","spiderxero","181.80","1","2-0-0"
"344","Grand Slam Breakfast Club","dbhart7777","181.80","1","2-0-0"
"345","chrisbot","chrisbot","181.80","1","2-0-0"
"346","rhill1","rhill1","181.80","1","2-0-0"
"347","Bill Belichase","chasegq","181.76","1","2-0-0"
"348","jrmguy","jrmguy","181.76","1","2-0-0"
"349","sweetlu90","sweetlu90","181.72","1","2-0-0"
"350","cortesfam","cortesfam","181.72","1","2-0-0"
"351","Dart Vader","seanmccormick22","181.70","2","2-0-0"
"352","Meat Higgins","jmartin294","181.70","1","2-0-0"
"353","touchette","touchette","181.70","1","2-0-0"
"354","Bortus","cwitt93","181.66","1","2-0-0"
"355","turfmuncher77","turfmuncher77","181.66","1","2-0-0"
"356","Apple Bottom Jeanty's","jessydumeignil","181.64","1","2-0-0"
"357","mattheimpaler","mattheimpaler","181.60","1","2-0-0"
"358","Fonkin' Rooster","sammor","181.54","1","2-0-0"
"359","deadeye940","deadeye940","181.50","1","2-0-0"
"360","jofulltime","jofulltime","181.46","1","2-0-0"
"361","byancey17","byancey17","181.42","1","2-0-0"
"362","Dak to the Future","destitute","181.40","1","2-0-0"
